# name	exact%	close%	rmse	note
CPUTest/CPU/SUB/CPUSUB	100.00	100.00	0.00	
CPUTest/CPU/SUBU/CPUSUBU	100.00	100.00	0.00	
CPUTest/CPU/XOR/CPUXOR	100.00	100.00	0.00	
CPUTest/DMAAlignment-PI-cart/DMAAlignment-PI-ROM-FROM	98.61	98.61	24.84	SIZE 640x240 vs ref 640x480
CPUTest/DMAAlignment-PI-cart/DMAAlignment-PI-ROM-FROM_large_2	100.00	100.00	0.00	SIZE 640x240 vs ref 640x480
CPUTest/DMAAlignment-PI-cart/DMAAlignment-PI-ROM-FROM_large_4	100.00	100.00	0.00	SIZE 640x240 vs ref 640x480
CPUTest/DMAAlignment-PI-cart/DMAAlignment-PI-ROM-FROM_large_6	100.00	100.00	0.00	SIZE 640x240 vs ref 640x480
CPUTest/Exceptions/Compare/ExceptionCompareDisabled	99.86	99.86	9.42	
CPUTest/Exceptions/Compare/ExceptionCompareRegisters	99.99	99.99	2.97	
CPUTest/Exceptions/Syscall/ExceptionSyscall	99.31	99.31	21.19	
CPUTest/Exceptions/Syscall/ExceptionSyscallDelay	99.31	99.31	21.19	
CPUTest/Exceptions/Syscall/ExceptionSyscallDelay2	99.33	99.33	20.95	
CPUTest/Exceptions/Syscall/ExceptionSyscallWhileInException	99.31	99.31	21.19	
CPUTest/Exceptions/TLB/ExceptionTLBReadMiss	98.58	98.58	29.31	
CPUTest/Exceptions/TLB/ExceptionTLBReadMissDelay	98.50	98.50	30.14	
CPUTest/Exceptions/TLB/ExceptionTLBReadMissNested	98.58	98.58	29.32	
CPUTest/Exceptions/TLB/ExceptionTLBReadMissNestedDelay	98.59	98.59	29.12	
CPUTest/Exceptions/TLB/ExceptionTLBWriteMiss	98.53	98.53	29.78	
CPUTest/Exceptions/TLB/ExceptionTLBWriteMissDelay	98.56	98.56	29.46	
CPUTest/Exceptions/Trap/ExceptionTEQ	98.92	98.92	23.91	
CPUTest/Exceptions/Trap/ExceptionTEQDelay	98.92	98.92	23.91	
CPUTest/Exceptions/Unaligned/ExceptionUnaligned	99.73	99.73	13.17	
CPUTest/Exceptions/Unaligned/ExceptionUnalignedDelay	99.33	99.33	17.36	
CPUTest/Exceptions/VIIntr/ExceptionVIIntrDisabled	100.00	100.00	0.00	
Compress/DCT/DCTBlockGFX/DCTBlockGFX	100.00	100.00	0.00	
Compress/DCT/FastDCTBlockGFX/FastDCTBlockGFX	100.00	100.00	0.00	
Compress/DCT/FastQuantizationBlockGFX/FastQuantizationBlockGFX	100.00	100.00	0.00	
Compress/DCT/FastQuantizationMultiBlockGFX16BIT/FastQuantizationMultiBlockGFX16BIT	11.00	91.53	5.04	
Compress/DCT/FastQuantizationMultiBlockGFX8BIT/FastQuantizationMultiBlockGFX8BIT	100.00	100.00	0.00	
Compress/DCT/QuantizationBlockGFX/QuantizationBlockGFX	100.00	100.00	0.00	
Compress/DCT/QuantizationMultiBlockGFX16BIT/QuantizationMultiBlockGFX16BIT	13.80	79.12	20.77	REF-DEDUP 3
Compress/DCT/QuantizationMultiBlockGFX8BIT/QuantizationMultiBlockGFX8BIT	88.02	88.02	21.89	REF-DEDUP 3
Compress/HUFFMAN/HUFFMANGFX/HUFFMANGFX	99.41	99.41	11.76	
Compress/HUFFMAN/HUFFMANROMGFX/HUFFMANROMGFX	99.33	99.33	12.49	
Compress/LZ77/LZ77GFX/LZ77GFX	99.40	99.40	11.84	
Compress/LZ77/LZ77ROMGFX/LZ77ROMGFX	99.33	99.33	12.49	
EMU/GameBoy/PPU/2BPPTile8x8/PPU2BPPTile8x8	66.03	80.08	27.05	
EMU/SNES/PPU/2BPPTile8x8/PPU2BPPTile8x8	32.88	60.26	60.47	SIZE 272x240 vs ref 320x240
EMU/SNES/PPU/4BPPTile8x8/PPU4BPPTile8x8	27.04	59.87	36.90	SIZE 272x240 vs ref 320x240
EMU/SNES/PPU/8BPPTile8x8/PPU8BPPTile8x8	23.84	63.72	25.38	SIZE 272x240 vs ref 320x240
EMU/SNES/SPC/SPCEMU	99.18	99.18	19.89	
FrameBuffer/16BPP/FrameBufferCPU320x240/FrameBufferCPU16BPP320X240	98.64	100.00	0.28	
FrameBuffer/16BPP/FrameBufferDMA320x240/FrameBufferDMA16BPP320X240	98.64	100.00	0.28	
FrameBuffer/32BPP/FrameBufferCPU640x480/FrameBufferCPU32BPP640X480	100.00	100.00	0.00	
FrameBuffer/32BPP/FrameBufferDMA640x480/FrameBufferDMA32BPP640X480	100.00	100.00	0.00	
HelloWorld/16BPP/HelloWorldCPU320x240/HelloWorldCPU16BPP320X240	99.42	99.42	15.69	
HelloWorld/16BPP/HelloWorldRDP320x240/HelloWorldRDP16BPP320X240	100.00	100.00	0.00	
HelloWorld/32BPP/HelloWorldCPU320x240/HelloWorldCPU32BPP320X240	99.42	99.42	15.69	
HelloWorld/32BPP/HelloWorldRDP320x240/HelloWorldRDP32BPP320X240	0.00	100.00	13.61	BAD-ORACLE: ref PNG duplicated from the 16BPP ROM
Input/CPU/InputCPU	100.00	100.00	0.00	
Input/CPU2Player/InputCPU2Player	99.99	99.99	1.50	
Input/RDP/InputRDP	100.00	100.00	0.00	
Interrupt/VI/InterruptVI	99.98	99.98	2.98	
Interrupt/VIScrollingBGDMA16BPP320X240/VIScrollingBGDMA16BPP320X240	0.00	46.38	17.54	
Interrupt/VIScrollingBGDMA32BPP320X240/VIScrollingBGDMA32BPP320X240	0.21	55.52	15.49	
N64NICCC/N64NICCC	98.01	98.01	17.29	SIZE 256x199 vs ref 320x240
RCP/VI/CoverageTest/CoverageTest	91.76	93.45	29.69	SIZE 320x240 vs ref 320x237
RCP/Version/RCPVersion	98.50	98.50	24.99	SIZE 320x240 vs ref 640x480
RDP/16BPP/Line/FillLine/Cycle1FillLine320x240/Cycle1FillLine16BPP320X240	99.21	99.21	14.61	
RDP/16BPP/Line/FillLine/FillLine320x240/FillLine16BPP320X240	99.18	99.18	14.32	
RDP/16BPP/Line/Plot/FillLine/PlotFillLine16BPP320X240	99.87	99.87	4.81	
RDP/16BPP/Line/Rotate/FillLine/RotateFillLine16BPP320X240	0.00	99.41	17.57	
RDP/16BPP/Rectangle/FillRectangle/Cycle1FillRectangle320x240/Cycle1FillRectangle16BPP320X240	98.65	98.65	24.18	
RDP/16BPP/Rectangle/FillRectangle/FillRectangle320x240/FillRectangle16BPP320X240	98.64	98.64	23.61	
RDP/16BPP/Rectangle/FillZBufferRectangle320x240/Cycle1FillZBufferRectangle16BPP320X240	98.94	98.94	17.26	
RDP/16BPP/Rectangle/TextureRectangle/CopyTextureRectangleRGBA16B320x240/CopyTextureRectangle16BPPRGBA16B320X240	99.54	99.54	13.76	
RDP/16BPP/Rectangle/TextureRectangle/Cycle1TextureRectangleI4B320x240/Cycle1TextureRectangle16BPPI4B320X240	93.96	96.88	15.61	
RDP/16BPP/Rectangle/TextureRectangle/Cycle1TextureRectangleI8B320x240/Cycle1TextureRectangle16BPPI8B320X240	95.77	97.25	15.52	
RDP/16BPP/Rectangle/TextureRectangle/Cycle1TextureRectangleIA16B320x240/Cycle1TextureRectangle16BPPIA16B320X240	95.93	97.50	27.96	
RDP/16BPP/Rectangle/TextureRectangle/Cycle1TextureRectangleIA4B320x240/Cycle1TextureRectangle16BPPIA4B320X240	94.21	97.22	31.22	
RDP/16BPP/Rectangle/TextureRectangle/Cycle1TextureRectangleIA8B320x240/Cycle1TextureRectangle16BPPIA8B320X240	95.93	97.50	27.93	
RDP/16BPP/Rectangle/TextureRectangle/Cycle1TextureRectangleRGBA16B320x240/Cycle1TextureRectangle16BPPRGBA16B320X240	95.93	97.80	27.73	
RDP/16BPP/Rectangle/TextureRectangle/Cycle1TextureRectangleRGBA32B320x240/Cycle1TextureRectangle16BPPRGBA32B320X240	96.17	97.80	27.73	
RDP/16BPP/Rectangle/TextureRectangle/Cycle1TextureRectangleYUV16B320x240/Cycle1TextureRectangle16BPPYUV16B320X240	99.74	99.74	7.49	
RDP/16BPP/Rectangle/TextureRectangle/TLUT/CopyTextureRectangleTLUTRGBA4B320x240/CopyTextureRectangle16BPPTLUTRGBA4B320X240	99.40	99.40	15.76	
RDP/16BPP/Rectangle/TextureRectangle/TLUT/CopyTextureRectangleTLUTRGBA8B320x240/CopyTextureRectangle16BPPTLUTRGBA8B320X240	99.54	99.54	13.76	
